#------------------------------------------------------------------------------------------------------------------------------------------------------------
#Wavelength (microns) - Emerging intensity spetrum (erg/s/cm2/sr/micron)
#Wavelength (microns)          HII (data)         Atomic (data)      Atomic (PDR code)    Molecular (PDR code)
# wave hii_data atomic_data atomic_pdr mol_pdr
            0.700000         0.00000e+00         0.00000e+00         3.22170e-04         1.08689e-04
            0.701000         0.00000e+00         0.00000e+00         4.53062e-04         4.13143e-04
            0.702000         0.00000e+00         0.00000e+00         4.05482e-05         7.02097e-06
            0.703000         0.00000e+00         0.00000e+00         6.49665e-06         4.18405e-06
            0.704000         0.00000e+00         0.00000e+00         1.46968e-03         1.99749e-04
            0.705000         0.00000e+00         0.00000e+00         4.50660e-09         1.52483e-09
            0.706000         0.00000e+00         0.00000e+00         5.38265e-04         2.08230e-04
            0.707000         0.00000e+00         0.00000e+00         2.52220e-07         7.62712e-08
            0.708000         0.00000e+00         0.00000e+00         2.08666e-04         3.19160e-05
            0.709000         0.00000e+00         0.00000e+00         4.25169e-04         3.12609e-04
            0.710000         0.00000e+00         0.00000e+00         1.46094e-05         2.95054e-06
            0.711000         0.00000e+00         0.00000e+00         1.20973e-04         5.44001e-05
            0.712000         0.00000e+00         0.00000e+00         2.46704e-05         6.16261e-06
            0.713000         0.00000e+00         0.00000e+00         3.61987e-05         6.05610e-06
            0.714000         0.00000e+00         0.00000e+00         2.86120e-05         1.07287e-05
            0.715000         0.00000e+00         0.00000e+00         3.46405e-06         8.43617e-07
            0.716000         0.00000e+00         0.00000e+00         0.00000e+00         0.00000e+00
            0.717000         0.00000e+00         0.00000e+00         2.17325e-25         1.63680e-25
            0.718000         0.00000e+00         0.00000e+00         2.60957e-03         1.96543e-03
            0.719000         0.00000e+00         0.00000e+00         2.96524e-11         7.41633e-12
            0.720000         0.00000e+00         0.00000e+00         3.36741e-06         9.16212e-07
            0.721000         0.00000e+00         0.00000e+00         1.32030e-08         4.84817e-09
            0.722000         0.00000e+00         0.00000e+00         9.89240e-06         4.38011e-06
            0.723000         0.00000e+00         0.00000e+00         2.22829e-13         9.86628e-14
            0.724000         0.00000e+00         0.00000e+00         4.67226e-03         1.89857e-03
            0.725000         0.00000e+00         0.00000e+00         1.49467e-07         5.87439e-08
            0.726000         0.00000e+00         0.00000e+00         1.30708e-04         3.58804e-05
            0.727000         0.00000e+00         0.00000e+00         2.47145e-05         1.14153e-05
            0.728000         0.00000e+00         0.00000e+00         4.21230e-05         1.22923e-05
            0.729000         0.00000e+00         0.00000e+00         1.90400e-09         3.75166e-10
            0.730000         0.00000e+00         0.00000e+00         1.87422e-04         8.39931e-05
            0.731000         0.00000e+00         0.00000e+00         1.83968e-08         1.67042e-08
            0.732000         0.00000e+00         0.00000e+00         1.58326e-08         1.43759e-08
            0.733000         0.00000e+00         0.00000e+00         0.00000e+00         0.00000e+00
            0.734000         0.00000e+00         0.00000e+00         8.67866e-11         2.64956e-11
            0.735000         0.00000e+00         0.00000e+00         1.44585e-06         4.41413e-07
            0.736000         0.00000e+00         0.00000e+00         1.55468e-04         1.49670e-04
            0.737000         0.00000e+00         0.00000e+00         7.46856e-06         2.38699e-06
            0.738000         0.00000e+00         0.00000e+00         1.81112e-18         3.74034e-19
            0.739000         0.00000e+00         0.00000e+00         2.64365e-05         5.45981e-06
            0.740000         0.00000e+00         0.00000e+00         5.77926e-09         2.15517e-09
            0.741000         0.00000e+00         0.00000e+00         3.35987e-05         7.56534e-06
            0.742000         0.00000e+00         0.00000e+00         9.48226e-12         3.01977e-12
            0.743000         0.00000e+00         0.00000e+00         9.43970e-06         3.09140e-06
            0.744000         0.00000e+00         0.00000e+00         8.02959e-14         2.25701e-14
            0.745000         0.00000e+00         0.00000e+00         1.46783e-04         4.56028e-05
            0.746000         0.00000e+00         0.00000e+00         1.82515e-07         8.30391e-08
            0.747000         0.00000e+00         0.00000e+00         6.97324e-05         1.92677e-05
            0.748000         0.00000e+00         0.00000e+00         5.71060e-05         2.55685e-05
            0.749000         0.00000e+00         0.00000e+00         1.43719e-03         1.31838e-03
            0.750000         0.00000e+00         0.00000e+00         1.00383e-10         2.10772e-11
            0.751000         0.00000e+00         0.00000e+00         4.23304e-06         1.42670e-06
            0.752000         0.00000e+00         0.00000e+00         4.59839e-09         1.16777e-09
            0.753000         0.00000e+00         0.00000e+00         4.17417e-04         1.71854e-04
            0.754000         0.00000e+00         0.00000e+00         2.07783e-12         4.83226e-13
            0.755000         0.00000e+00         0.00000e+00         4.36325e-07         1.01473e-07
            0.756000         0.00000e+00         0.00000e+00         2.63475e-20         1.12050e-20
            0.757000         0.00000e+00         0.00000e+00         1.54838e-03         5.16267e-04
            0.758000         0.00000e+00         0.00000e+00         6.52722e-04         4.66263e-04
            0.759000         0.00000e+00         0.00000e+00         1.03544e-24         7.76848e-25
            0.760000         0.00000e+00         0.00000e+00         2.79943e-27         1.12475e-27
            0.761000         0.00000e+00         0.00000e+00         2.25811e-05         9.07065e-06
            0.762000         0.00000e+00         0.00000e+00         4.04985e-08         3.63190e-08
            0.763000         0.00000e+00         0.00000e+00         2.82350e-03         5.10271e-04
            0.764000         0.00000e+00         0.00000e+00         2.41854e-03         5.69099e-04
            0.765000         0.00000e+00         0.00000e+00         2.55464e-10         8.02092e-11
            0.766000         0.00000e+00         0.00000e+00         3.30333e-05         7.79686e-06
            0.767000         0.00000e+00         0.00000e+00         5.78653e-04         1.15438e-04
            0.768000         0.00000e+00         0.00000e+00         6.24752e-21         2.19714e-21
            0.769000         0.00000e+00         0.00000e+00         0.00000e+00         0.00000e+00
            0.770000         0.00000e+00         0.00000e+00         2.26658e-17         1.75115e-17
            0.771000         0.00000e+00         0.00000e+00         1.61235e-03         1.24084e-03
            0.772000         0.00000e+00         0.00000e+00         1.82388e-05         6.27574e-06
            0.773000         0.00000e+00         0.00000e+00         2.65097e-14         8.06717e-13
            0.774000         0.00000e+00         0.00000e+00         1.10978e-05         8.55157e-06
            0.775000         0.00000e+00         0.00000e+00         8.29579e-05         2.24721e-05
            0.776000         0.00000e+00         0.00000e+00         7.28347e-11         2.14769e-11
            0.777000         0.00000e+00         0.00000e+00         5.28906e-03         2.23369e-03
            0.778000         0.00000e+00         0.00000e+00         2.51193e-03         6.78097e-04
            0.779000         0.00000e+00         0.00000e+00         3.20235e-04         2.04419e-04
            0.780000         0.00000e+00         0.00000e+00         9.67941e-06         2.38929e-06
            0.781000         0.00000e+00         0.00000e+00         1.01500e-05         2.12507e-06
            0.782000         0.00000e+00         0.00000e+00         1.16233e-03         4.02336e-04
            0.783000         0.00000e+00         0.00000e+00         1.47981e-18         4.83912e-19
            0.784000         0.00000e+00         0.00000e+00         4.26305e-03         9.57948e-04
            0.785000         0.00000e+00         0.00000e+00         2.06814e-03         1.94412e-03
            0.786000         0.00000e+00         0.00000e+00         1.51057e-06         5.47087e-07
            0.787000         0.00000e+00         0.00000e+00         5.03981e-04         1.42761e-04
            0.788000         0.00000e+00         0.00000e+00         1.15276e-25         3.30789e-26
            0.789000         0.00000e+00         0.00000e+00         5.00804e-04         2.20054e-04
            0.790000         0.00000e+00         0.00000e+00         1.77150e-05         5.41433e-06
            0.791000         0.00000e+00         0.00000e+00         6.42037e-14         1.47853e-14
            0.792000         0.00000e+00         0.00000e+00         1.18573e-03         5.93885e-04
            0.793000         0.00000e+00         0.00000e+00         2.78690e-08         2.59751e-08
            0.794000         0.00000e+00         0.00000e+00         2.74137e-07         9.66207e-08
            0.795000         0.00000e+00         0.00000e+00         1.26769e-05         8.55867e-06
            0.796000         0.00000e+00         0.00000e+00         2.49668e-03         1.12732e-03
            0.797000         0.00000e+00         0.00000e+00         1.30875e-13         3.96720e-14
            0.798000         0.00000e+00         0.00000e+00         2.80515e-04         8.43708e-05
            0.799000         0.00000e+00         0.00000e+00         6.90614e-17         2.64065e-17
            0.800000         0.00000e+00         0.00000e+00         1.62375e-03         6.20863e-04
            0.801000         0.00000e+00         0.00000e+00         2.42186e-03         1.12825e-03
            0.802000         0.00000e+00         0.00000e+00         2.21089e-05         5.07496e-06
            0.803000         0.00000e+00         0.00000e+00         3.03688e-06         9.55053e-07
            0.804000         0.00000e+00         0.00000e+00         1.67467e-03         1.58980e-03
            0.805000         0.00000e+00         0.00000e+00         1.58037e-03         1.26014e-03
            0.806000         0.00000e+00         0.00000e+00         2.02873e-08         6.60481e-09
            0.807000         0.00000e+00         0.00000e+00         3.83372e-04         4.18108e-04
            0.808000         0.00000e+00         0.00000e+00         2.91491e-07         1.23966e-07
            0.809000         0.00000e+00         0.00000e+00         6.06839e-04         2.40068e-04
            0.810000         0.00000e+00         0.00000e+00         1.47113e-05         2.55801e-06
            0.811000         0.00000e+00         0.00000e+00         6.29859e-04         2.06190e-04
            0.812000         0.00000e+00         0.00000e+00         2.12764e-09         8.16629e-10
            0.813000         0.00000e+00         0.00000e+00         6.54828e-09         2.51336e-09
            0.814000         0.00000e+00         0.00000e+00         2.55146e-07         2.01383e-07
            0.815000         0.00000e+00         0.00000e+00         6.75121e-04         2.87677e-04
            0.816000         0.00000e+00         0.00000e+00         1.78555e-05         4.53966e-06
            0.817000         0.00000e+00         0.00000e+00         1.74922e-16         4.44730e-17
            0.818000         0.00000e+00         0.00000e+00         6.51083e-09         1.56291e-09
            0.819000         0.00000e+00         0.00000e+00         1.23465e-06         1.22650e-06
            0.820000         0.00000e+00         0.00000e+00         2.96608e-04         1.17807e-04
            0.821000         0.00000e+00         0.00000e+00         8.61302e-05         4.39063e-05
            0.822000         0.00000e+00         0.00000e+00         7.50825e-04         2.35403e-04
